dateHour,networkDomain,visitors,visits,bounces,timeOnSite,Date,Hour,Domain
2014010100,,814,1,0.55,365,2014-01-01,00,Actual
2014010101,,848,1,0.48,434,2014-01-01,01,Actual
2014010102,,529,1,0.48,273,2014-01-01,02,Actual
2014010103,,398,1,0.5,199,2014-01-01,03,Actual
2014010104,,325,1,0.49,164,2014-01-01,04,Actual
2014010105,,161,1,0.76,39,2014-01-01,05,Actual
2014010106,,113,1,0.84,19,2014-01-01,06,Actual
2014010107,,99,1,1,0,2014-01-01,07,Actual
2014010108,,212,1,1,0,2014-01-01,08,Actual
2014010109,,325,1,1,0,2014-01-01,09,Actual
2014010110,,408,1,1,2,2014-01-01,10,Actual
2014010111,,444,1,1,0,2014-01-01,11,Actual
2014010112,,426,1,1,0,2014-01-01,12,Actual
2014010113,,430,1,1,0,2014-01-01,13,Actual
2014010114,,512,1,1,0,2014-01-01,14,Actual
2014010115,,482,1,1,0,2014-01-01,15,Actual
2014010116,,544,1,1,0,2014-01-01,16,Actual
2014010117,,558,1,1,0,2014-01-01,17,Actual
2014010118,,504,1,1,0,2014-01-01,18,Actual
2014010119,,492,1,1,0,2014-01-01,19,Actual
2014010120,,536,1,1,0,2014-01-01,20,Actual
2014010121,,462,1,1,0,2014-01-01,21,Actual
2014010122,,377,1,1,0,2014-01-01,22,Actual
2014010123,,224,1,1,0,2014-01-01,23,Actual
2014010200,,142,1,1,0,2014-01-02,00,Actual
2014010201,,74,1,1,0,2014-01-02,01,Actual
2014010202,,38,1,1,0,2014-01-02,02,Actual
2014010203,,28,1,0.96,0,2014-01-02,03,Actual
2014010204,,20,1,1,0,2014-01-02,04,Actual
2014010205,,17,1,1,0,2014-01-02,05,Actual
2014010206,,26,1,0.96,1,2014-01-02,06,Actual
2014010207,,59,1,1,0,2014-01-02,07,Actual
2014010208,,205,1,1,0,2014-01-02,08,Actual
2014010209,,387,1,1,0,2014-01-02,09,Actual
2014010210,,461,1,0.98,4,2014-01-02,10,Actual
2014010211,,521,1,1,0,2014-01-02,11,Actual
2014010212,,481,1,1,0,2014-01-02,12,Actual
2014010213,,453,1,1,0,2014-01-02,13,Actual
2014010214,,538,1,1,0,2014-01-02,14,Actual
2014010215,,608,1,1,0,2014-01-02,15,Actual
2014010216,,665,1,1,3,2014-01-02,16,Actual
2014010217,,691,1,1,0,2014-01-02,17,Actual
2014010218,,674,1,1,0,2014-01-02,18,Actual
2014010219,,638,1,1,0,2014-01-02,19,Actual
2014010220,,616,1,0.99,6,2014-01-02,20,Actual
2014010221,,592,1,1,1,2014-01-02,21,Actual
2014010222,,416,1,0.99,4,2014-01-02,22,Actual
2014010223,,274,1,0.99,3,2014-01-02,23,Actual
2014010300,,170,1,1,0,2014-01-03,00,Actual
2014010301,,90,1,1,0,2014-01-03,01,Actual
2014010302,,64,1,0.98,1,2014-01-03,02,Actual
2014010303,,42,1,0.93,3,2014-01-03,03,Actual
2014010304,,25,1,1,0,2014-01-03,04,Actual
2014010305,,24,1,0.96,1,2014-01-03,05,Actual
2014010306,,39,1,0.97,1,2014-01-03,06,Actual
2014010307,,75,1,0.99,0,2014-01-03,07,Actual
2014010308,,240,1,0.99,0,2014-01-03,08,Actual
2014010309,,388,1,1,0,2014-01-03,09,Actual
2014010310,,449,1,1,0,2014-01-03,10,Actual
2014010311,,564,1,1,2,2014-01-03,11,Actual
2014010312,,508,1,1,0,2014-01-03,12,Actual
2014010313,,620,1,0.97,17,2014-01-03,13,Actual
2014010314,,659,1,0.99,7,2014-01-03,14,Actual
2014010315,,719,1,1,0,2014-01-03,15,Actual
2014010316,,778,1,0.98,14,2014-01-03,16,Actual
2014010317,,785,1,1,0,2014-01-03,17,Actual
2014010318,,699,1,0.99,5,2014-01-03,18,Actual
2014010319,,691,1,1,3,2014-01-03,19,Actual
2014010320,,683,1,0.95,35,2014-01-03,20,Actual
2014010321,,692,1,0.93,45,2014-01-03,21,Actual
2014010322,,589,1,0.91,50,2014-01-03,22,Actual
2014010323,,402,1,0.97,12,2014-01-03,23,Actual
2014010400,,238,1,1,0,2014-01-04,00,Actual
2014010401,,151,1,1,0,2014-01-04,01,Actual
2014010402,,73,1,1,0,2014-01-04,02,Actual
2014010403,,64,1,0.92,5,2014-01-04,03,Actual
2014010404,,35,1,1,0,2014-01-04,04,Actual
2014010405,,26,1,1,0,2014-01-04,05,Actual
2014010406,,38,1,1,0,2014-01-04,06,Actual
2014010407,,83,1,1,0,2014-01-04,07,Actual
2014010408,,213,1,1,0,2014-01-04,08,Actual
2014010409,,368,1,0.99,0,2014-01-04,09,Actual
2014010410,,451,1,1,0,2014-01-04,10,Actual
2014010411,,539,1,1,0,2014-01-04,11,Actual
2014010412,,515,1,0.99,2,2014-01-04,12,Actual
2014010413,,561,1,0.99,4,2014-01-04,13,Actual
2014010414,,602,1,1,0,2014-01-04,14,Actual
2014010415,,626,1,1,0,2014-01-04,15,Actual
2014010416,,731,1,0.99,7,2014-01-04,16,Actual
2014010417,,804,1,1,0,2014-01-04,17,Actual
2014010418,,742,1,1,0,2014-01-04,18,Actual
2014010419,,673,1,0.99,6,2014-01-04,19,Actual
2014010420,,725,1,0.93,47,2014-01-04,20,Actual
2014010421,,654,1,0.92,47,2014-01-04,21,Actual
2014010422,,508,1,0.94,29,2014-01-04,22,Actual
2014010423,,362,1,0.99,2,2014-01-04,23,Actual
2014010500,,236,1,1,0,2014-01-05,00,Actual
2014010501,,124,1,1,0,2014-01-05,01,Actual
2014010502,,88,1,1,0,2014-01-05,02,Actual
2014010503,,52,1,0.9,5,2014-01-05,03,Actual
2014010504,,33,1,0.94,2,2014-01-05,04,Actual
