dateHour,networkDomain,visitors,visits,bounces,timeOnSite,Date,Hour,Domain
2014010100,,329,1,0.99,3,2014-01-01,00,Actual
2014010111,,2033,1,1,9,2014-01-01,11,Actual
2014010102,,184,1,0.74,48,2014-01-01,02,Actual
2014010105,,93,1,0.99,1,2014-01-01,05,Actual
2014010115,,1759,1,1,2,2014-01-01,15,Actual
2014010109,,1498,1,1,1,2014-01-01,09,Actual
2014010114,,1809,1,1,3,2014-01-01,14,Actual
2014010107,,402,1,1,2,2014-01-01,07,Actual
2014010101,,245,1,0.99,2,2014-01-01,01,Actual
2014010123,,573,1,1,0,2014-01-01,23,Actual
2014010122,,873,1,1,2,2014-01-01,22,Actual
2014010112,,1992,1,0.99,22,2014-01-01,12,Actual
2014010108,,1095,1,1,1,2014-01-01,08,Actual
2014010116,,1610,1,1,2,2014-01-01,16,Actual
2014010118,,1617,1,0.99,17,2014-01-01,18,Actual
2014010117,,1584,1,1,6,2014-01-01,17,Actual
2014010106,,154,1,0.99,1,2014-01-01,06,Actual
2014010113,,1963,1,1,9,2014-01-01,13,Actual
2014010103,,103,1,0.97,3,2014-01-01,03,Actual
2014010119,,1644,1,0.97,46,2014-01-01,19,Actual
2014010121,,1244,1,0.99,9,2014-01-01,21,Actual
2014010110,,2014,1,1,4,2014-01-01,10,Actual
2014010104,,91,1,0.98,2,2014-01-01,04,Actual
2014010120,,1537,1,0.98,30,2014-01-01,20,Actual
2014010215,,2304,1,1,10,2014-01-02,15,Actual
2014010200,,305,1,0.99,2,2014-01-02,00,Actual
2014010209,,2145,1,0.97,50,2014-01-02,09,Actual
2014010216,,2222,1,1,5,2014-01-02,16,Actual
2014010203,,96,1,0.99,1,2014-01-02,03,Actual
2014010221,,1739,1,0.96,64,2014-01-02,21,Actual
2014010214,,2428,1,0.99,15,2014-01-02,14,Actual
2014010217,,2313,1,0.99,19,2014-01-02,17,Actual
2014010210,,2800,1,0.89,289,2014-01-02,10,Actual
2014010218,,2145,1,1,6,2014-01-02,18,Actual
2014010204,,72,1,0.94,4,2014-01-02,04,Actual
2014010202,,115,1,0.97,3,2014-01-02,02,Actual
2014010211,,3116,1,0.79,619,2014-01-02,11,Actual
2014010207,,397,1,1,0,2014-01-02,07,Actual
